Stand;AgeGroup;german_male_ledig;german_male_married;german_male_verwitwet;german_male_divorces;german_male_partnership;german_male_former_partnership;german_male_dead_partnership;german_female_ledig;german_female_married;german_female_verwitwet;german_female_divorces;german_female_partnership;german_female_former_partnership;german_female_dead_partnership;non_german_male_ledig;non_german_male_married;non_german_male_verwitwet;non_german_male_divorces;non_german_male_partnership;non_german_male_former_partnership;non_german_male_dead_partnership;non_german_female_ledig;non_german_female_married;non_german_female_verwitwet;non_german_female_divorces;non_german_female_partnership;non_german_female_former_partnership;non_german_female_dead_partnership
31.12.2019;56-Jährige;115658;417930;7848;97274;-;-;-;72296;426951;28862;112568;-;-;-;11902;40160;784;8096;-;-;-;6460;35084;2957;8112;-;-;-
31.12.2019;57-Jährige;104647;409528;8744;94074;-;-;-;64898;416100;31874;108999;-;-;-;10590;36793;801;7588;-;-;-;5840;33164;3253;7495;-;-;-
31.12.2019;58-Jährige;96487;409327;9758;92823;-;-;-;60253;415739;36513;105272;-;-;-;9331;31862;779;6898;-;-;-;5228;29568;3313;6701;-;-;-
31.12.2019;59-Jährige;86676;398848;10617;87111;-;-;-;53972;400502;40731;99122;-;-;-;9029;31682;846;6754;-;-;-;5118;30067;3723;6493;-;-;-
31.12.2019;60-Jährige;78082;394437;11598;83232;-;-;-;49159;392237;44633;93916;-;-;-;7520;28633;811;5909;-;-;-;4172;26249;3794;5727;-;-;-
31.12.2019;61-Jährige;68939;375419;12043;76133;-;-;-;43861;370655;47531;85024;-;-;-;6607;26881;891;5586;-;-;-;3829;24618;3790;5318;-;-;-
31.12.2019;62-Jährige;62028;368944;13260;72143;-;-;-;40669;361419;51895;81172;-;-;-;5715;26175;926;5066;-;-;-;3403;23051;3977;4915;-;-;-
31.12.2019;63-Jährige;55527;359050;14192;66788;-;-;-;37114;348878;56038;76486;-;-;-;4985;26733;1012;4884;-;-;-;3095;23770;4627;4778;-;-;-
31.12.2019;64-Jährige;49397;349959;15180;61465;-;-;-;33542;335774;60555;72138;-;-;-;4461;23596;942;4304;-;-;-;2916;23713;5311;4569;-;-;-
31.12.2019;65-Jährige;44382;343553;16522;57668;-;-;-;31318;327885;65662;69818;-;-;-;3546;20169;1001;3799;-;-;-;2586;23387;5444;4306;-;-;-
31.12.2019;66-Jährige;39653;332899;17289;53402;-;-;-;28119;315562;69659;65856;-;-;-;2947;17618;973;3324;-;-;-;2230;22054;5668;3933;-;-;-
31.12.2019;67-Jährige;36075;331900;19021;50227;-;-;-;26095;308597;76462;63969;-;-;-;2609;18262;1013;3115;-;-;-;2170;22827;6333;3920;-;-;-
31.12.2019;68-Jährige;32541;324662;20240;46976;-;-;-;23840;298734;82237;61269;-;-;-;2206;17807;1089;2698;-;-;-;1845;20341;6111;3522;-;-;-
31.12.2019;69-Jährige;29933;319430;22380;43871;-;-;-;21753;289424;89134;58845;-;-;-;2222;21286;1360;2859;-;-;-;1875;22434;7722;3559;-;-;-
31.12.2019;70-Jährige;26036;307509;23190;40127;-;-;-;19312;274195;93833;53875;-;-;-;1819;21513;1432;2615;-;-;-;1564;20446;7495;3139;-;-;-
31.12.2019;71-Jährige;21805;275940;22556;35101;-;-;-;16425;241453;92358;47503;-;-;-;1641;22117;1568;2502;-;-;-;1382;18679;7385;3047;-;-;-
31.12.2019;72-Jährige;18300;253219;22866;30899;-;-;-;14303;221634;94262;42960;-;-;-;1536;22251;1682;2293;-;-;-;1268;17059;7305;2670;-;-;-
31.12.2019;73-Jährige;15230;214102;21376;25370;-;-;-;11646;186213;87630;36687;-;-;-;1186;20342;1587;1885;-;-;-;1137;14496;6974;2328;-;-;-
31.12.2019;74-Jährige;12425;181478;20433;20752;-;-;-;10575;158261;82842;31660;-;-;-;1021;17511;1581;1484;-;-;-;939;12464;6545;1866;-;-;-
31.12.2019;75-Jährige;15635;246090;29855;25898;-;-;-;13274;210666;118507;40599;-;-;-;887;16572;1586;1342;-;-;-;796;10613;6544;1664;-;-;-
31.12.2019;76-Jährige;15222;244376;32887;24738;-;-;-;13777;205423;127794;40075;-;-;-;762;15259;1678;1188;-;-;-;701;9065;5962;1468;-;-;-
31.12.2019;77-Jährige;14059;228220;34211;21990;-;-;-;13494;188520;132505;36493;-;-;-;691;15075;1640;1119;-;-;-;657;8210;6011;1390;-;-;-
31.12.2019;78-Jährige;16132;268813;44423;24064;-;-;-;15954;219458;174747;41831;-;-;-;590;13266;1753;970;-;-;-;639;6637;5917;1209;-;-;-
31.12.2019;79-Jährige;15364;268037;50180;21656;-;-;-;16685;211485;199065;40747;-;-;-;642;13406;1832;922;-;-;-;571;6409;6642;1186;-;-;-
31.12.2019;80-Jährige;13592;250728;51149;19348;-;-;-;16425;192314;207041;36754;-;-;-;482;11678;1537;842;-;-;-;502;5167;5668;1119;-;-;-
31.12.2019;81-Jährige;11104;218148;49552;15542;-;-;-;15194;158295;203000;31252;-;-;-;448;9943;1657;716;-;-;-;501;4388;5240;1031;-;-;-
31.12.2019;82-Jährige;9079;187650;47938;12297;-;-;-;14306;129846;195763;26675;-;-;-;345;8099;1427;581;-;-;-;447;3611;4792;852;-;-;-
31.12.2019;83-Jährige;7637;164125;47384;10215;-;-;-;13464;107842;195233;22726;-;-;-;288;6778;1179;496;-;-;-;357;2807;4130;676;-;-;-
31.12.2019;84-Jährige;6058;140992;46163;8265;-;-;-;12798;86742;191012;19334;-;-;-;240;5218;991;379;-;-;-;343;2070;3726;548;-;-;-
31.12.2019;85 Jahre und mehr;18536;452603;272009;23438;-;-;-;82490;233160;1164161;81248;-;-;-;1115;18851;5587;1445;-;-;-;1661;8086;19712;2752;-;-;-
