Stand;RaumID;RaumName;AgeGroup;Overall;male;female;german;german_male;german_female;non_german;non_german_male;non_german_female
31.12.2019;03;Niedersachsen;50 bis unter 55 Jahre;670929;336501;334428;620639;309721;310918;50290;26780;23510
31.12.2019;03;Niedersachsen;55 bis unter 60 Jahre;655323;326741;328582;618234;306830;311404;37089;19911;17178
31.12.2019;03;Niedersachsen;60 bis unter 65 Jahre;543772;268009;275763;517652;254510;263142;26120;13499;12621
31.12.2019;03;Niedersachsen;65 bis unter 70 Jahre;469165;226122;243043;449025;217120;231905;20140;9002;11138
31.12.2019;03;Niedersachsen;70 bis unter 75 Jahre;368921;175799;193122;351433;167299;184134;17488;8500;8988
31.12.2019;03;Niedersachsen;75 bis unter 80 Jahre;376605;171065;205540;365393;165258;200135;11212;5807;5405
31.12.2019;03;Niedersachsen;80 bis unter 85 Jahre;323083;136298;186785;316214;132732;183482;6869;3566;3303
31.12.2019;03;Niedersachsen;85 bis unter 90 Jahre;150366;54639;95727;147680;53342;94338;2686;1297;1389
31.12.2019;03;Niedersachsen;90 Jahre und mehr;80919;21721;59198;79721;21281;58440;1198;440;758
31.12.2019;04;Bremen;unter 3 Jahre;20737;10775;9962;15947;8285;7662;4790;2490;2300
31.12.2019;04;Bremen;3 bis unter 6 Jahre;19639;10186;9453;14795;7688;7107;4844;2498;2346
31.12.2019;04;Bremen;6 bis unter 10 Jahre;23255;11965;11290;17851;9185;8666;5404;2780;2624
31.12.2019;04;Bremen;10 bis unter 15 Jahre;29612;15386;14226;23766;12313;11453;5846;3073;2773
31.12.2019;04;Bremen;15 bis unter 18 Jahre;17727;9142;8585;14551;7426;7125;3176;1716;1460
31.12.2019;04;Bremen;18 bis unter 20 Jahre;14180;7448;6732;11172;5695;5477;3008;1753;1255
31.12.2019;04;Bremen;20 bis unter 25 Jahre;45010;23688;21322;32402;16075;16327;12608;7613;4995
31.12.2019;04;Bremen;25 bis unter 30 Jahre;49087;25681;23406;35708;18184;17524;13379;7497;5882
31.12.2019;04;Bremen;30 bis unter 35 Jahre;48848;25278;23570;35091;17837;17254;13757;7441;6316
31.12.2019;04;Bremen;35 bis unter 40 Jahre;43999;22574;21425;32026;16250;15776;11973;6324;5649
31.12.2019;04;Bremen;40 bis unter 45 Jahre;39805;20292;19513;28961;14625;14336;10844;5667;5177
31.12.2019;04;Bremen;45 bis unter 50 Jahre;41595;21108;20487;32119;16148;15971;9476;4960;4516
31.12.2019;04;Bremen;50 bis unter 55 Jahre;51743;26440;25303;44003;22226;21777;7740;4214;3526
31.12.2019;04;Bremen;55 bis unter 60 Jahre;49771;24749;25022;44058;21661;22397;5713;3088;2625
31.12.2019;04;Bremen;60 bis unter 65 Jahre;42241;20348;21893;38266;18358;19908;3975;1990;1985
31.12.2019;04;Bremen;65 bis unter 70 Jahre;36345;16900;19445;33300;15655;17645;3045;1245;1800
31.12.2019;04;Bremen;70 bis unter 75 Jahre;30879;14264;16615;28081;12980;15101;2798;1284;1514
31.12.2019;04;Bremen;75 bis unter 80 Jahre;31207;13993;17214;29332;13015;16317;1875;978;897
31.12.2019;04;Bremen;80 bis unter 85 Jahre;26301;10662;15639;25206;10132;15074;1095;530;565
31.12.2019;04;Bremen;85 bis unter 90 Jahre;12172;4243;7929;11658;4020;7638;514;223;291
31.12.2019;04;Bremen;90 Jahre und mehr;7049;1879;5170;6712;1764;4948;337;115;222
31.12.2019;05;Nordrhein-Westfalen;unter 3 Jahre;519351;267022;252329;442366;227413;214953;76985;39609;37376
31.12.2019;05;Nordrhein-Westfalen;3 bis unter 6 Jahre;514771;264429;250342;434822;222926;211896;79949;41503;38446
31.12.2019;05;Nordrhein-Westfalen;6 bis unter 10 Jahre;640840;330059;310781;545746;279747;265999;95094;50312;44782
31.12.2019;05;Nordrhein-Westfalen;10 bis unter 15 Jahre;817819;421708;396111;715608;367377;348231;102211;54331;47880
31.12.2019;05;Nordrhein-Westfalen;15 bis unter 18 Jahre;515339;266215;249124;458955;235591;223364;56384;30624;25760
31.12.2019;05;Nordrhein-Westfalen;18 bis unter 20 Jahre;374031;194769;179262;327041;167868;159173;46990;26901;20089
31.12.2019;05;Nordrhein-Westfalen;20 bis unter 25 Jahre;1047132;546967;500165;839031;428528;410503;208101;118439;89662
